step,time_seconds,total_vehicles,north_queue,south_queue,east_queue,west_queue,north_speed,south_speed,east_speed,west_speed,north_wait,south_wait,east_wait,west_wait,north_vehicles,south_vehicles,east_vehicles,west_vehicles,avg_speed_kmh,avg_waiting_time,max_waiting_time,halting_count,cars,trucks,buses,motorcycles,emergency_vehicles,emergency_detected,emergency_direction,emergency_direction_name,emergency_priority,emergency_distance,emergency_vehicle_id,emergency_type,north_congestion,south_congestion,east_congestion,west_congestion
85,85,79,73,6,0,0,12.777865649446495,44.75936980206696,0,0,14.835616438356164,0.0,0,0,73,6,0,0,15.206840648379696,13.708860759493671,56.0,44,62,4,4,8,1,1,0,north,0,142.9892934123519,emergency_1,emergency,65,13,20,20
86,86,79,72,7,0,0,12.440954372844775,45.798309461187365,0,0,15.152777777777779,0.0,0,0,72,7,0,0,15.396669380672602,13.810126582278482,57.0,41,62,4,4,8,1,1,0,north,0,149.53400685870412,emergency_1,emergency,65,13,20,20
87,87,80,73,7,0,0,11.978758903028593,45.83918303730646,0,0,15.26027397260274,0.0,0,0,73,7,0,0,14.941546014777908,13.925,58.0,44,63,4,4,8,1,1,0,north,0,156.31793629191273,emergency_1,emergency,65,13,20,20
88,88,83,76,7,0,0,11.750858906143971,46.63581291838897,0,0,15.236842105263158,0.0,0,0,76,7,0,0,14.692963461393552,13.951807228915662,59.0,47,65,4,4,9,1,1,0,north,0,158.51854033043895,emergency_1,emergency,65,13,20,20
89,89,85,78,7,0,0,11.474119263587033,46.14321996235903,0,0,15.448717948717949,0.0,0,0,78,7,0,0,14.32922167407414,14.176470588235293,60.0,49,67,4,4,9,1,1,0,north,0,159.06967182396284,emergency_1,emergency,66,13,20,20
90,90,86,77,9,0,0,11.238906831557697,46.32161978932808,0,0,9.857142857142858,0.0,0,0,77,9,0,0,14.910353536440642,8.825581395348838,51.0,35,68,4,4,9,1,1,0,north,0,159.27523060854458,emergency_1,emergency,64,14,20,20
91,91,86,78,8,0,0,11.816023623524963,46.14742325545553,0,0,6.717948717948718,0.0,0,0,78,8,0,0,15.009642193937106,6.093023255813954,41.0,29,68,4,4,9,1,1,0,north,0,159.29357408747975,emergency_1,emergency,63,14,20,20
92,92,88,81,7,0,0,12.816295154179084,47.2617903812153,0,0,4.666666666666667,0.0,0,0,81,7,0,0,15.556277729056966,4.295454545454546,42.0,26,70,4,4,9,1,1,0,north,0,160.1752720152192,emergency_1,emergency,62,12,20,20
93,93,89,82,7,0,0,14.685107669216904,46.67545088366837,0,0,3.597560975609756,0.0,0,0,82,7,0,0,17.201202079342305,3.3146067415730336,43.0,21,71,4,4,9,1,1,0,north,0,162.51913000413154,emergency_1,emergency,61,13,20,20
94,94,90,82,8,0,0,16.626367292943925,44.04858460224624,0,0,3.1707317073170733,0.0,0,0,82,8,0,0,19.06389772043747,2.888888888888889,44.0,19,71,4,4,10,1,1,0,north,0,166.6737287519056,emergency_1,emergency,59,15,20,20
95,95,90,83,7,0,0,18.500335230576745,43.571328424256876,0,0,2.927710843373494,0.0,0,0,83,7,0,0,20.450301367862977,2.7,45.0,21,71,4,4,10,1,1,0,north,0,172.63881119127686,emergency_1,emergency,58,15,20,20
96,96,92,84,8,0,0,20.51528464531016,45.326741303668044,0,0,2.75,0.0,0,0,84,8,0,0,22.672802615602148,2.510869565217391,46.0,19,73,4,4,10,1,1,0,north,0,2.9576551299417133,emergency_1,emergency,57,14,20,20
97,97,91,82,9,0,0,21.977352038626506,45.76440553098347,0,0,2.902439024390244,0.0,0,0,82,9,0,0,24.32991776863983,2.6153846153846154,47.0,17,72,4,4,10,1,1,0,north,0,11.308684997275623,emergency_1,emergency,56,14,20,20
98,98,92,81,11,0,0,22.422824287234654,42.63180297126014,0,0,3.1728395061728394,0.0,0,0,81,11,0,0,24.839115216846395,2.7934782608695654,48.0,21,74,3,4,10,1,1,0,north,0,21.439599617787877,emergency_1,emergency,55,18,20,20
99,99,94,79,15,0,0,22.59534558752448,43.21103998758317,0,0,3.5063291139240507,0.0,0,0,79,15,0,0,25.88508405561895,2.9468085106382977,49.0,22,76,3,4,10,1,1,0,north,0,32.80630480987635,emergency_1,emergency,55,20,20,20
100,100,95,81,14,0,0,22.381849887890603,44.001352741029756,0,0,3.7037037037037037,0.0,0,0,81,14,0,0,25.56788188730058,3.1578947368421053,50.0,25,76,3,4,11,1,1,0,north,0,45.56502657179639,emergency_1,emergency,56,19,20,20
101,101,96,78,18,0,0,21.84672572348298,43.257258810393495,0,0,4.153846153846154,0.0,0,0,78,18,0,0,25.8612006772787,3.375,51.0,25,77,3,4,11,1,1,1,south,0,12.448840432032036,emergency_1,emergency,56,21,20,20
102,102,98,79,19,0,0,21.610690455183377,43.321596623011686,0,0,4.430379746835443,0.0,0,0,79,19,0,0,25.819947773435807,3.5714285714285716,52.0,28,79,3,4,11,1,1,1,south,0,24.700790028034504,emergency_1,emergency,56,22,20,20
